code_3,code_1,script,name,family,type,tok_code,proxy,auto_assigned,default_code_1,default_script
aai,,Latn,Arifama-Miniafia,Austronesian,SpaCyTokenizer,ms,TRUE,TRUE,FALSE,TRUE
aak,,Latn,Ankave,Trans-New Guinea,SpaCyTokenizer,xx,TRUE,TRUE,FALSE,TRUE
aau,,Latn,Abau,Sepik,SpaCyTokenizer,xx,TRUE,TRUE,FALSE,TRUE
aaz,,Latn,Amarasi,Austronesian,SpaCyTokenizer,ms,TRUE,TRUE,FALSE,TRUE
aba,,Latn,Abé,Niger-Congo,SpaCyTokenizer,tn,TRUE,TRUE,FALSE,TRUE
abi,,Latn,Abidji,Niger-Congo,SpaCyTokenizer,tn,TRUE,TRUE,FALSE,TRUE
abk,ab,Cyrl,Abkhazian,Abkhaz-Adyghe,SpaCyTokenizer,xx,TRUE,TRUE,TRUE,TRUE
abn,,Latn,Abua,Niger-Congo,SpaCyTokenizer,tn,TRUE,TRUE,FALSE,TRUE
abq,,Cyrl,Abaza,Abkhaz-Adyghe,SpaCyTokenizer,xx,TRUE,TRUE,FALSE,TRUE
abs,,Latn,Ambonese Malay,Creole,SpaCyTokenizer,ms,TRUE,TRUE,FALSE,TRUE
abt,,Latn,Ambulas,Sepik,SpaCyTokenizer,xx,TRUE,TRUE,FALSE,TRUE
abx,,Latn,Inabaknon,Austronesian,SpaCyTokenizer,ms,TRUE,TRUE,FALSE,TRUE
aby,,Latn,Aneme Wake,Trans-New Guinea,SpaCyTokenizer,xx,TRUE,TRUE,FALSE,TRUE
abz,,Latn,Abui,Trans-New Guinea,SpaCyTokenizer,xx,TRUE,TRUE,FALSE,TRUE
aca,,Latn,Achagua,Maipurean,SpaCyTokenizer,xx,TRUE,TRUE,FALSE,TRUE
acd,,Latn,Gikyode,Niger-Congo,SpaCyTokenizer,tn,TRUE,TRUE,FALSE,TRUE
ace,,Arab,Achinese,Austronesian,WhitespaceTokenizer,,TRUE,TRUE,FALSE,FALSE
ace,,Latn,Achinese,Austronesian,SpaCyTokenizer,ms,TRUE,TRUE,FALSE,TRUE
acf,,Latn,Saint Lucian Creole French,Creole,SpaCyTokenizer,xx,TRUE,TRUE,FALSE,TRUE
ach,,Latn,Acoli,Nilo-Saharan,SpaCyTokenizer,xx,TRUE,TRUE,FALSE,TRUE
acm,ar,Arab,Mesopotamian Arabic,Afro-Asiatic,SpaCyTokenizer,ar,FALSE,FALSE,FALSE,TRUE
acn,,Latn,Achang,Sino-Tibetan,SpaCyTokenizer,xx,TRUE,TRUE,FALSE,TRUE
acr,,Latn,Achi,Mayan,SpaCyTokenizer,xx,TRUE,TRUE,FALSE,TRUE
acu,,Latn,Achuar-Shiwiar,Jivaroan,SpaCyTokenizer,xx,TRUE,TRUE,FALSE,TRUE
ada,,Latn,Adangme,Niger-Congo,SpaCyTokenizer,tn,TRUE,TRUE,FALSE,TRUE
ade,,Latn,Adele,Niger-Congo,SpaCyTokenizer,tn,TRUE,TRUE,FALSE,TRUE
adh,,Latn,Adhola,Nilo-Saharan,SpaCyTokenizer,xx,TRUE,TRUE,FALSE,TRUE
adi,,Latn,Adi,Sino-Tibetan,SpaCyTokenizer,xx,TRUE,TRUE,FALSE,TRUE
adj,,Latn,Adioukrou,Niger-Congo,SpaCyTokenizer,tn,TRUE,TRUE,FALSE,TRUE
adl,,Latn,Galo,Sino-Tibetan,SpaCyTokenizer,xx,TRUE,TRUE,FALSE,TRUE
ady,,Cyrl,Adyghe,Abkhaz-Adyghe,SpaCyTokenizer,xx,TRUE,TRUE,FALSE,TRUE
adz,,Latn,Adzera,Austronesian,SpaCyTokenizer,ms,TRUE,TRUE,FALSE,TRUE
aeb,ar,Arab,Tunisian Arabic,Afro-Asiatic,SpaCyTokenizer,ar,FALSE,FALSE,FALSE,TRUE
aer,,Latn,Eastern Arrernte,Australian,SpaCyTokenizer,xx,TRUE,TRUE,FALSE,TRUE
aeu,,Latn,Akeu,Sino-Tibetan,SpaCyTokenizer,xx,TRUE,TRUE,FALSE,TRUE
aey,,Latn,Amele,Trans-New Guinea,SpaCyTokenizer,xx,TRUE,TRUE,FALSE,TRUE
afr,af,Latn,Afrikaans,Indo-European,SpaCyTokenizer,af,FALSE,FALSE,TRUE,TRUE
agd,,Latn,Agarabi,Trans-New Guinea,SpaCyTokenizer,xx,TRUE,TRUE,FALSE,TRUE
agg,,Latn,Angor,Senagi,SpaCyTokenizer,xx,TRUE,TRUE,FALSE,TRUE
agm,,Latn,Angaataha,Trans-New Guinea,SpaCyTokenizer,xx,TRUE,TRUE,FALSE,TRUE
agn,,Latn,Agutaynen,Austronesian,SpaCyTokenizer,ms,TRUE,TRUE,FALSE,TRUE
agr,,Latn,Aguaruna,Jivaroan,SpaCyTokenizer,xx,TRUE,TRUE,FALSE,TRUE
agt,,Latn,Central Cagayan Agta,Austronesian,SpaCyTokenizer,ms,TRUE,TRUE,FALSE,TRUE
agu,,Latn,Aguacateco,Mayan,SpaCyTokenizer,xx,TRUE,TRUE,FALSE,TRUE
agw,,Latn,Kahua,Austronesian,SpaCyTokenizer,ms,TRUE,TRUE,FALSE,TRUE
agx,,Cyrl,Aghul,Nakh-Daghestanian,SpaCyTokenizer,xx,TRUE,TRUE,FALSE,TRUE
aha,,Latn,Ahanta,Niger-Congo,SpaCyTokenizer,tn,TRUE,TRUE,FALSE,TRUE
ahk,,Latn,Akha,Sino-Tibetan,SpaCyTokenizer,xx,TRUE,TRUE,FALSE,TRUE
aia,,Latn,Arosi,Austronesian,SpaCyTokenizer,ms,TRUE,TRUE,FALSE,TRUE
aii,,Syrc,Assyrian Neo-Aramaic,Afro-Asiatic,WhitespaceTokenizer,,TRUE,TRUE,FALSE,TRUE
aim,,Latn,Aimol,Sino-Tibetan,SpaCyTokenizer,xx,TRUE,TRUE,FALSE,TRUE
ain,,Latn,Ainu (Japan),Language isolate,SpaCyTokenizer,xx,TRUE,TRUE,FALSE,TRUE
ajg,,Latn,Aja (Benin),Niger-Congo,SpaCyTokenizer,tn,TRUE,TRUE,FALSE,TRUE
aji,,Latn,Ajië,Austronesian,SpaCyTokenizer,ms,TRUE,TRUE,FALSE,TRUE
ajp,ar,Arab,,,SpaCyTokenizer,ar,FALSE,FALSE,FALSE,TRUE
ajz,,Latn,Amri Karbi,Sino-Tibetan,SpaCyTokenizer,xx,TRUE,TRUE,FALSE,TRUE
aka,ak,Latn,Akan,Niger-Congo,SpaCyTokenizer,xx,TRUE,TRUE,FALSE,TRUE
akb,,Latn,Batak Angkola,Austronesian,SpaCyTokenizer,ms,TRUE,TRUE,FALSE,TRUE
ake,,Latn,Akawaio,Cariban,SpaCyTokenizer,xx,TRUE,TRUE,FALSE,TRUE
akh,,Latn,Angal Heneng,Trans-New Guinea,SpaCyTokenizer,xx,TRUE,TRUE,FALSE,TRUE
akp,,Latn,Siwu,Niger-Congo,SpaCyTokenizer,tn,TRUE,TRUE,FALSE,TRUE
ald,,Latn,Alladian,Niger-Congo,SpaCyTokenizer,tn,TRUE,TRUE,FALSE,TRUE
alj,,Latn,Alangan,Austronesian,SpaCyTokenizer,ms,TRUE,TRUE,FALSE,TRUE
aln,sq,Latn,Gheg Albanian,Indo-European,SpaCyTokenizer,sq,FALSE,FALSE,FALSE,TRUE
alp,,Latn,Alune,Austronesian,SpaCyTokenizer,ms,TRUE,TRUE,FALSE,TRUE
alq,,Latn,Algonquin,Algic,SpaCyTokenizer,xx,TRUE,TRUE,FALSE,TRUE
als,sq,Latn,Tosk Albanian,Indo-European,SpaCyTokenizer,sq,FALSE,FALSE,TRUE,TRUE
alt,,Cyrl,Southern Altai,Turkic,SpaCyTokenizer,xx,TRUE,TRUE,FALSE,TRUE
aly,,Latn,Alyawarr,Australian,SpaCyTokenizer,xx,TRUE,TRUE,FALSE,TRUE
alz,,Latn,Alur,Nilo-Saharan,SpaCyTokenizer,xx,TRUE,TRUE,FALSE,TRUE
ame,,Latn,Yanesha',Maipurean,SpaCyTokenizer,xx,TRUE,TRUE,FALSE,TRUE
amf,,Latn,Hamer-Banna,Afro-Asiatic,SpaCyTokenizer,xx,TRUE,TRUE,FALSE,TRUE
amh,am,Ethi,Amharic,Afro-Asiatic,SpaCyTokenizer,am,FALSE,FALSE,TRUE,TRUE
ami,,Latn,Amis,Austronesian,SpaCyTokenizer,xx,TRUE,TRUE,FALSE,TRUE
amk,,Latn,Ambai,Austronesian,SpaCyTokenizer,ms,TRUE,TRUE,FALSE,TRUE
amm,,Latn,Ama (Papua New Guinea),Arai (Left May),SpaCyTokenizer,xx,TRUE,TRUE,FALSE,TRUE
amn,,Latn,Amanab,Border,SpaCyTokenizer,xx,TRUE,TRUE,FALSE,TRUE
amp,,Latn,Alamblak,Sepik,SpaCyTokenizer,xx,TRUE,TRUE,FALSE,TRUE
amr,,Latn,Amarakaeri,Harákmbut,SpaCyTokenizer,xx,TRUE,TRUE,FALSE,TRUE
amu,,Latn,Guerrero Amuzgo,Otomanguean,SpaCyTokenizer,xx,TRUE,TRUE,FALSE,TRUE
amx,,Latn,Anmatyerre,Australian,SpaCyTokenizer,xx,TRUE,TRUE,FALSE,TRUE
ang,,Latn,Old English (ca. 450-1100),,SpaCyTokenizer,xx,TRUE,TRUE,FALSE,TRUE
anm,,Latn,Anal,Sino-Tibetan,SpaCyTokenizer,xx,TRUE,TRUE,FALSE,TRUE
ann,,Latn,Obolo,Niger-Congo,SpaCyTokenizer,tn,TRUE,TRUE,FALSE,TRUE
anp,,Deva,Angika,Indo-European,IndicNLPTokenizer,hi,TRUE,TRUE,FALSE,TRUE
anv,,Latn,Denya,Niger-Congo,SpaCyTokenizer,tn,TRUE,TRUE,FALSE,TRUE
any,,Latn,Anyin,Niger-Congo,SpaCyTokenizer,tn,TRUE,TRUE,FALSE,TRUE
aoi,,Latn,Anindilyakwa,Australian,SpaCyTokenizer,xx,TRUE,TRUE,FALSE,TRUE
